# fesc_ion	fesc_lya
2.407077663147670632e-02 5.617335562987736397e-01
3.930313042871861826e-03 8.862973760932945089e-01
1.193250202697237680e-02 7.545008183306055605e-01
1.546833720508281398e-02 1.590488149427091435e-01
4.046304379990808830e-02 7.234666857510914095e-01
1.052724718853653568e-01 9.640952380952381162e-01
4.359747280422990789e-04 6.171946251596035493e-01
5.166641185922969323e-03 1.790405482581381991e-01
1.480170558109887846e-01 9.582857142857142962e-01
6.940162486441261123e-03 9.571428571428571841e-01
5.963088500410648751e-03 6.510737004885248924e-02
3.192311768204135047e-03 4.014730788924337213e-01
5.040868072231186742e-03 9.349593495934959142e-01
3.603780390552492694e-03 3.407949914358277682e-02
4.721637932311406605e-02 3.790895787603219547e-01
2.211942343514936655e-04 2.048357493351312952e-01
3.385720131094333701e-02 3.142194232681471688e-01
1.310030933214259780e-03 7.046728971962616939e-01
1.167555855353999694e-01 9.777142857142857579e-01
6.071956890106246923e-02 6.412824389014865067e-01
1.705380561414831728e-02 9.721904761904761605e-01
1.025609355065135002e-02 3.481315548314835584e-01
3.092605874899479607e-02 8.563526508382265368e-01
2.596599894550803006e-02 5.968515917602996712e-01
7.611352416501214859e-04 4.022274593573803292e-02
4.002840936227747282e-02 4.050657612301448163e-01
3.042285155458806373e-02 1.875630544442511705e-01
2.175072123619930815e-03 6.554968423765948904e-01
2.329000280180803031e-02 9.851428571428570979e-01
2.863053694502107251e-03 9.073333333333333250e-01
6.228332808384531676e-03 9.645714285714285241e-01
1.292521595783977829e-02 7.792458661721526347e-01
1.362997543093630824e-02 5.788023615406241440e-01
2.027493405844255341e-03 9.198095238095238546e-01
2.020815840185438000e-02 2.573758519961051872e-01
1.784865739427433842e-03 2.209202569521457882e-01
4.230320543744679057e-02 8.607779300891020835e-01
1.439372575025976665e-03 3.017650462962963021e-01
1.041649304846796291e-02 9.585425518218101959e-02
1.081444770742520482e-02 9.189523809523809650e-01
8.901037123747991770e-04 9.364761904761904621e-01
1.705458367302953304e-01 9.392177094081231026e-01
7.328657914132964343e-03 4.737584136801891721e-01
1.494806086908421761e-01 7.203824790831750979e-01
2.343962634653936478e-02 7.547675804529201393e-01
3.357109820593175142e-02 9.812380952380952426e-01
1.032547014259328072e-02 6.572904342073457307e-02
1.367540377276483393e-02 8.530535972139641210e-01
1.188880935079884675e-02 1.913801487671775714e-01
1.213133772343635147e-02 1.816073110328229046e-01
3.605485553245973192e-03 8.333748443337484213e-01
1.424821461539915214e-02 2.329037115776419475e-01
7.648078274848678533e-03 6.240888615372198328e-02
2.956219841837754436e-01 9.755238095238095708e-01
1.566344118033574651e-02 9.464572888090058145e-01
1.763911579040009035e-03 5.203383004430124359e-01
2.381030213255342157e-02 9.818095238095237987e-01
1.559772176153401309e-02 3.623681288173237203e-01
1.540006229674209352e-03 1.598209860783636471e-01
6.368502455062854950e-02 4.633450688533357065e-01
1.729206710759563026e-03 8.364330787113916088e-01
1.939256482787533788e-03 4.922460275802834628e-01
2.648844573207507769e-01 7.406321038351543207e-01
9.764455164339519433e-03 4.254597466285247043e-01
9.560334512331983281e-02 6.662311360815312833e-01
9.708872022690495651e-03 6.494165398274986956e-01
6.840951625565298844e-02 7.585018726591760130e-01
1.173840688370391024e-02 2.687501577764875305e-01
1.176669638312644386e-02 9.355238095238095353e-01
1.588328579310356158e-03 4.027420420608875118e-02
2.626164641452880888e-04 1.799506984387838904e-01
4.470389796122138659e-03 8.202603742880391069e-01
2.281865021727359083e-02 4.623770747118765012e-01
7.572941592747098501e-03 7.629808782404957634e-01
4.026069268135772442e-03 8.569723832253665075e-01
8.541683151290123876e-04 1.044615309270777170e-01
2.706290716321572889e-03 4.533154121863799402e-01
2.327255138204716023e-02 9.393333333333333535e-01
6.978057081024270636e-02 9.722857142857143087e-01
2.276541739643044709e-02 1.364131260444624572e-01
1.525645080181399840e-02 8.922256774766770260e-01
5.972956055277202705e-03 5.745172006080738747e-01
7.186392512207236691e-04 2.010555084346432875e-01
1.200303183920871548e-02 9.214285714285713746e-01
7.451158852998508719e-02 5.439110070257611174e-01
4.236339394973940805e-04 7.368362025458419229e-02
4.621602455243553620e-02 9.866666666666666918e-01
7.769048913398533818e-02 5.650317495073352569e-01
2.132220405447326963e-03 1.019498845463097519e-01
1.952453960526225052e-02 8.791609667122662897e-01
1.225767487499673791e-02 5.711831201349383547e-02
6.436905623867082704e-02 7.468055247802644070e-01
6.868200880197961045e-03 8.061698717948717618e-01
3.074649565516331291e-03 8.772893772893772812e-01
3.467355075225969641e-02 8.788276465441819951e-01
9.310478680917529462e-03 9.507619047619048080e-01
1.360162572500716871e-01 9.552380952380952195e-01
1.956234398446909592e-02 2.706401650690835048e-01
6.142657749076662829e-03 4.198733560642961549e-01
7.811733538098507984e-03 9.927602126468942911e-02
1.665814416648534607e-02 3.107429567936498271e-01
1.161909408063251841e-03 8.194275520960025982e-01
8.704465548834829786e-03 3.647104879177194836e-01
6.874666588508009449e-03 3.442425861608335302e-01
3.621587950568171382e-03 7.687870047062395074e-01
1.567510509518644027e-02 2.022882847643262261e-01
2.268144767915135276e-03 8.110161750559781446e-02
1.123739616175284048e-02 8.045472676505783793e-01
2.393683361809664767e-04 5.390858160113094488e-01
4.419956424539839973e-02 9.078816396706180791e-01
8.726781874863195204e-03 9.494285714285713995e-01
4.994313808869560098e-03 6.702324352879027725e-01
1.314517870825287690e-02 7.298136645962732816e-01
2.311044906423386641e-02 8.895281933256616869e-01
8.561565793626890047e-03 8.550072199099634229e-01
3.075437355668662887e-02 6.050643371502774093e-01
1.389257244249398129e-03 1.573827392253082658e-02
3.378622384041581484e-03 8.766350654026161537e-02
8.370700431198257671e-03 1.770119150635691974e-01
4.085659803200920870e-03 4.574224536517484396e-01
1.084728360559150256e-01 4.063089252042740296e-01
7.228313383626388568e-03 5.185893390352570853e-02
6.048322837495343635e-02 9.363809523809524249e-01
1.571486130847065191e-02 9.138095238095238493e-01
8.115874429058985958e-04 1.259222657697620373e-01
1.939741948292007453e-02 6.913563560181117396e-01
1.748055544733960508e-03 2.468571704864133132e-01
3.017246473976395254e-04 3.812829365800472492e-01
8.147748484257717055e-03 9.629523809523810041e-01
6.654444329532741009e-02 8.564251043174657685e-01
5.338105697708909851e-03 4.680755798334377826e-01
1.507253020327585340e-02 5.555074893202833763e-01
2.369098509740970027e-01 9.005569529284944696e-01
3.426389912291049056e-01 9.115052296498408202e-01
1.368303832840615623e-02 7.438065132691318304e-01
8.836472097173031504e-02 4.980610761027629563e-01
7.173523788473130935e-02 4.984655852696185940e-01
1.273679582721594025e-02 9.015274034141959048e-01
7.312653883627938736e-03 4.891795481569560233e-01
4.246728953735586648e-02 8.218643240605173483e-01
2.857750596675678097e-03 8.874259962887690589e-01
4.434318762238197500e-03 8.713241138133841490e-01
5.603666619973409618e-03 5.769035676041255334e-01
5.440175028890532546e-04 7.753612050415001899e-01
1.112380662658369601e-01 9.159663865546218142e-01
1.685830221538193530e-03 9.399047619047619095e-01
1.703237713622665758e-03 4.364877537072651276e-02
1.158427957514278177e-02 8.970233306516491867e-01
2.033847270982493127e-02 5.847893114080164878e-01
1.291865605503127006e-02 2.126624029604601562e-01
2.433602213822894794e-02 9.477142857142857313e-01
7.187751982292404918e-02 3.299317350481116295e-01
1.752356209688503766e-02 9.283809523809524178e-01
6.107895067557080927e-03 6.018227188890094004e-01
4.651594731576338786e-04 8.598562628336755553e-01
3.642539977698819992e-04 4.247700797057020194e-01
1.056049389802295874e-01 7.675544794188862152e-01
2.239267637805273520e-02 7.308134521414199058e-01
2.104116160208709639e-03 5.743250875409465772e-01
1.913279229533919584e-03 1.576318473630527461e-01
3.081448868535414248e-03 9.689523809523808984e-01
2.457123204781003212e-03 3.612262932499490375e-01
4.577748534785296142e-02 4.377587288312774216e-01
1.351765093778133781e-02 6.129381350327661737e-01
7.755341307128108333e-03 3.246585057506706784e-01
1.538352127015406431e-03 5.642898844244212397e-02
4.524635281222431221e-02 8.612203042215006432e-01
5.082651572835420600e-02 9.330165828209427969e-01
3.276983551113576282e-02 9.558095238095237756e-01
2.037935387778346756e-04 1.988921272243442395e-01
7.266806279299115046e-02 6.976998157122380473e-01
7.038260038433871496e-04 5.459505945849767172e-02
1.016804923414513402e-02 5.975717569399422446e-01
3.515407399735335017e-03 2.259467169741867232e-01
5.378921915380751066e-04 1.149503468915793747e-01
4.436538555859707400e-04 5.197137996597618326e-01
1.271111796344334688e-02 3.150949564597140817e-01
2.212941662229551965e-01 9.597142857142857419e-01
3.146372196850019069e-03 2.013444986302434514e-01
4.836032904152361145e-02 6.567763669344389710e-01
1.108033268404680013e-02 5.540987159343339075e-01
1.270448348236721337e-03 4.334466638334041888e-01
4.572390384784567885e-03 2.080353837460787447e-01
4.718811917225009672e-02 8.168432974678424552e-01
3.495054863453860104e-03 6.801691667217339976e-01
4.256056032123666281e-04 1.603957358693151314e-01
8.823607073039571591e-03 7.711359119400703621e-01
1.677902489781376086e-02 9.899999999999999911e-01
2.636589056537644304e-02 4.579236944168846302e-01
5.332889925679589610e-02 3.577300912701177338e-01
6.059238986524399274e-03 3.984022628239431429e-01
1.380168957818424247e-02 8.055621961909315010e-01
1.175458723424691564e-02 8.971551760578264090e-02
7.624580249563304990e-02 5.528744166313109831e-01
1.463775940442755587e-02 6.438261089027699224e-01
3.630283820418329921e-02 5.885839231256113635e-01
1.684223923855902513e-02 8.044625719769673555e-01
2.504398159902166202e-02 9.640952380952381162e-01
6.592902906349604186e-03 3.998390681278258807e-01
7.840114694768959835e-02 3.620463640126949101e-01
9.662348737524712600e-03 6.774969915764139650e-01
2.637911057722350586e-02 4.938705692293072214e-01
1.522920473648405881e-01 9.643809523809523387e-01
3.426851084146297077e-02 9.283809523809524178e-01
4.257313624409563534e-03 1.796748504774807464e-01
4.011907974883237304e-02 7.488689460802492315e-01
7.439850357406750485e-03 5.556333854194730471e-01
1.305470865264255799e-02 2.380459770114942419e-01
1.064741008740386794e-03 5.082329810764315559e-01
2.374412609907763233e-02 4.365383015886218354e-01
9.301185712849548495e-03 1.242044984285698289e-01
1.868891153736076515e-03 2.566358810268344337e-01
1.071435488113290377e-03 5.377585126383956915e-01
4.784074391732933557e-02 7.118678137814585805e-01
1.561365813627468291e-01 9.965714285714285525e-01
1.560988179000604749e-02 6.442873232386434612e-01
1.929014946967266917e-03 3.538518362850174431e-02
1.951064740521767094e-02 8.455018462571333160e-01
2.514282026385996072e-01 9.124658780709735684e-01
1.634265902587958780e-03 6.571626870851104973e-02
1.599869233270258869e-03 4.575543429644869931e-01
1.206801354006085611e-02 5.560694270634963798e-01
9.663928824007057480e-03 8.126610824742268591e-01
2.916404554377894850e-02 3.156497864551555677e-01
2.871293549679299496e-03 9.421904761904762449e-01
1.194348335257377700e-02 2.826742719245324276e-01
3.434739813621932869e-03 3.908648446274803345e-01
1.211167595263869766e-02 4.831623811531075563e-01
3.269899176343354225e-02 2.217931034482758523e-01
3.301734461044697477e-02 9.816190476190476133e-01
3.491559055858314484e-03 4.583095248560503099e-01
7.893115317687784960e-02 8.969478450444406947e-01
2.422460063573380479e-03 3.679621848739496048e-01
3.562536026348781925e-03 9.350018677624206687e-01
1.584244451912618368e-02 6.379877323506774611e-02
5.356783142123085380e-03 6.577129205139794488e-01
3.580626848269105600e-02 1.733793758080617864e-01
3.877293438290334120e-03 6.846143491721631280e-01
8.726066067240289062e-03 2.300456866433754355e-01
4.873284393128151856e-03 6.225214198286413980e-01
5.080062896799756623e-03 3.356344190568789632e-01
1.711196349880355350e-01 7.516339869281045694e-01
4.629246258325044744e-02 7.296010388860832974e-01
1.207246873587058088e-03 1.399830959942628961e-01
5.594006652582912513e-03 4.993818604128422850e-02
1.019628569808918653e-02 8.467484456393883363e-01
6.345449989494159060e-02 5.768736377354272138e-01
2.063526186556231476e-02 9.187975437631747955e-01
1.101172328264819408e-02 7.075798540820346649e-02
1.061755556126242617e-01 8.756430868167202064e-01
7.180191309165978239e-03 7.164032314717245775e-01
2.696485624089317579e-01 9.938095238095238093e-01
8.771246175158026875e-03 5.514815604348752842e-01
1.789721153334374909e-51 5.255909558067831666e-01
1.500800043167467221e-02 1.489393960277314577e-01
5.607440592867412275e-03 7.377651380495319211e-01
1.421258089832117336e-03 2.284797485347565479e-02
6.513379618163450679e-03 9.839999999999999858e-01
1.441106731903904203e-01 9.745714285714285330e-01
1.343935058363593393e-01 9.437735849056603232e-01
3.181094080050494988e-01 7.121797121797122099e-01
2.256382743497340609e-02 4.052606894395372472e-01
3.709546788551407875e-02 8.662293950116509711e-01
2.098564036527797161e-01 6.321326896893180169e-01
9.881381868952109071e-02 7.988310559987362724e-01
6.935201000345852899e-03 6.041357181056509207e-01
8.412896525797877029e-03 9.332380952380951999e-01
2.815443238461264736e-02 3.868321879849257461e-01
2.596389498119898165e-01 9.892380952380952497e-01
6.083429468730224346e-03 4.634091622919190301e-01
1.397169966262427378e-02 5.380071819310668912e-01
1.037814194467782426e-02 1.809267019303427981e-01
1.645998972170626849e-03 8.331406869220607803e-01
1.788545850133409221e-02 9.426666666666666528e-01
1.839004721491672989e-02 8.808231173380034473e-01
1.475322652478931393e-03 2.193381056126154083e-01
1.032375277735914608e-02 8.408825004178506202e-01
8.946846704364939951e-02 8.716902508898342061e-01
1.458083309057285788e-02 4.432175316401936738e-01
6.774614153253519233e-03 7.047947568126939899e-01
1.965080346357383871e-03 4.790407943421853831e-01
1.224192269064286465e-01 9.830476190476190590e-01
9.619046451409969320e-03 9.619047619047619291e-01
3.168569002692280846e-03 6.961333515507582836e-01
2.115937486238239629e-02 9.407619047619047992e-01
1.653090115324507281e-01 4.999277212933069814e-01
8.041186673403845353e-02 8.134936647566782808e-01
2.522982614646041206e-04 7.400379506641365790e-01
1.561630622428110621e-03 8.776458002564080374e-02
7.382187147057221559e-03 3.871969995778926782e-02
4.497758779483890875e-04 3.709596502544255658e-01
1.223430927149300653e-03 2.861835190245953231e-01
1.125745255502864223e-01 7.455334166605396273e-01
2.660046594928471703e-02 8.431060479142234998e-01
4.681631502840746806e-03 9.139047619047618864e-01
9.710610515977838308e-03 5.900688501860171936e-02
2.889206380923215259e-02 1.892788674236838276e-01
1.833153480608109859e-03 9.341982452865409403e-01
5.321506252973257078e-03 7.079393770856506896e-01
7.827582387427639565e-02 5.998823183289202499e-01
1.215676665901453332e-02 2.742141979985890932e-01
4.694645559601336193e-04 5.097065686907303883e-01
4.876491408626080354e-02 6.602431453698913710e-01
5.523788858558309478e-03 9.261904761904762307e-01
1.944381358842456053e-01 9.369732159580446140e-01
4.215390673483977203e-03 2.082049458797503305e-01
1.169750364927193628e-02 8.882097617149437019e-01
3.944091358525080721e-02 9.883809523809523601e-01
1.729717150084558730e-02 8.153310104529616353e-01
8.790302938822496903e-05 7.982034512646757340e-01
8.487421066393507213e-03 8.319736299958796488e-01
4.929528545699778108e-02 7.905812407103184336e-01
7.055849012706543605e-03 2.730753203458693434e-01
8.132102811245343899e-03 7.072103362045012442e-01
4.880577258779063808e-03 2.613416742955955718e-01
2.343088618966912909e-02 1.596173943334881495e-01
2.780708352005859148e-03 3.987592495702219630e-01
1.438899953301902906e-03 3.439405735046062174e-01
8.439191669953766475e-03 6.401685393258427226e-01
1.584560638223968948e-03 1.001755045255381046e-02
1.122092507281304170e-02 4.983694329520564348e-01
1.252714283496874637e-01 9.966666666666667007e-01
3.289317323268210053e-02 9.484164612175232101e-01
6.745728759378730177e-02 3.642388726105762475e-01
1.682904420977023377e-02 5.130439111819177223e-01
6.254640043154187368e-02 5.831916581661565901e-01
9.655040178228642064e-03 2.420402201999775349e-01
2.798970590654035247e-03 1.670089085828096731e-01
3.848775943103417002e-02 5.340427061614781978e-01
1.706225108720664432e-03 4.701762715888183064e-01
2.275602917585519136e-01 9.964761904761905154e-01
7.092339606385158832e-12 6.189238210399032880e-01
8.297424045204046528e-03 6.133158802879752347e-01
9.587438738261998272e-02 5.453575240128067936e-01
2.478969259555427462e-02 9.582857142857142962e-01
1.039526328261228087e-02 8.579109062980030398e-01
7.153403424636001727e-03 8.753368686429626733e-01
4.809153289451989499e-02 5.799017115743094752e-01
2.134283125389627861e-02 5.498848604937610629e-01
1.014928243393479063e-01 8.402366863905325056e-01
1.207033759442583121e-01 7.539488320355951512e-01
4.679121334525218612e-02 4.631065088757396198e-01
1.341026616711614786e-02 7.653538554398672256e-01
1.337596304820454565e-02 6.502967643116982499e-01
1.629363587720421003e-01 8.618124436429215329e-01
1.284729661045851123e-01 9.444182315749740653e-01
6.766497038398466835e-02 2.379349046015712676e-01
3.758689193153739311e-02 9.868571428571428772e-01
5.318808199917801453e-03 5.900201903663109260e-01
4.031438900481948266e-04 7.952898550724637472e-01
5.574088542811480055e-04 8.353476821192052926e-01
4.538297860736887485e-02 7.021556803216192355e-01
2.149634879440909599e-02 6.594713371679700176e-01
6.645630547927565759e-03 5.278759023191521571e-01
3.643306325392393062e-04 6.532217148655504735e-01
1.496030267156182175e-02 1.919755307664627597e-01
1.631453605441868021e-04 6.589870648046849411e-01
3.250953153208139268e-01 9.501282416642917728e-01
1.226516597718707406e-02 3.223247232472324919e-01
3.669158161504915291e-04 9.498095238095237702e-01
1.378427932323374473e-07 1.261441481257487007e-01
1.787449353945195704e-02 2.799761590090440455e-01
2.796441289423008333e-03 5.355355718326202386e-01
1.695055462712199423e-01 6.850420168067227200e-01
1.564693865380339900e-03 4.213293125229227165e-01
1.810159386722699770e-02 4.802637732672341286e-01
1.238134286992054797e-03 5.029916816656126999e-01
7.066342271258370562e-03 3.977819708113519703e-01
1.020667862281921662e-02 2.742241114411553826e-01
2.726048336603971922e-04 5.112098765432099290e-01
1.001000310367768271e-02 3.741751512603506274e-02
3.271385674203559912e-02 9.439675502311102306e-01
3.717065033618146414e-02 7.398717575051005912e-01
1.370380284198697007e-01 9.390953453453453337e-01
8.610858130437446314e-03 5.908228109267971151e-01
1.544414256471452439e-02 6.793688995855060586e-01
9.148992825423351086e-03 7.922667501565434645e-01
2.615654534157232924e-02 7.612743998205070417e-01
1.170830529650932796e-03 1.659636984029193019e-01
4.760623928302443186e-02 5.355639839975061545e-01
4.413110660181747413e-03 7.714372902044552838e-01
4.842149771259518509e-02 3.964995595725939181e-01
6.922636936453593903e-02 8.840643403357650865e-01
1.117125023000773917e-02 5.621904122239946427e-02
1.931396786119771516e-02 7.051834352418010488e-01
7.523875765015527670e-03 9.516190476190475867e-01
2.061621668391800180e-02 8.128933354849120496e-01
3.424241449370594298e-03 7.819338817321124235e-01
8.402432598110786202e-03 8.276569552728765267e-01
1.306951576871120090e-02 9.507619047619048080e-01
5.431542958302368156e-03 5.972540045766590033e-01
1.742142645927773764e-02 7.984086970222151747e-01
2.371320289745267821e-03 9.536190476190475884e-01
2.952267318239034256e-03 9.572380952380952213e-01
2.170671892144357754e-02 8.697268326417704198e-01
5.775622720107649946e-03 8.561562073669849449e-01
1.297183590610576608e-02 5.938078703703704164e-01
3.301015540300236868e-03 7.250781028117012639e-01
1.257048147780771147e-02 4.818036486740643332e-01
1.456974215382287469e-02 6.547443854373280470e-01
2.193412605129271397e-03 9.129804706369470946e-02
3.474304641684781980e-02 7.581297767121234488e-01
8.121257188952036091e-03 8.947462313798947298e-01
1.542040883472402821e-03 2.594896351943110774e-02
7.055513472401694387e-03 6.980523933616787913e-01
1.060510659557018648e-02 4.176103106092931422e-02
4.967993629747930601e-02 3.831687137806611410e-01
2.958265922329119876e-02 4.259513984410820964e-01
6.092446528937024014e-03 8.332506203473944995e-01
5.493608103150937616e-02 6.455013016699473472e-01
7.822836969633432253e-03 9.471396038920709692e-02
2.592429174656557533e-02 3.224874611135800651e-01
5.102031321115792521e-04 2.070216442639182669e-02
6.842795716706082977e-03 6.907548073633066332e-01
1.321412188668649387e-02 8.222276462452200452e-01
8.905929874620101966e-03 8.333789586478221323e-02
8.028816623414036791e-02 9.757142857142857562e-01
1.219072603360566998e-01 9.647619047619047095e-01
3.208135607243680076e-01 9.619047619047619291e-01
1.442037801702435174e-02 1.661628978292142844e-01
1.162934870061754604e-02 4.962979801259985724e-01
5.628694975687768918e-04 2.885663425989319353e-01
4.460124821331236736e-03 5.556511915649039457e-01
4.827016725910825319e-03 7.954563382503746505e-01
2.236290226901366598e-02 6.695634999012443078e-01
4.757306845033205077e-03 5.774363575193450782e-01
1.142022045512198353e-02 2.550543570373598468e-01
5.483526776069788666e-02 9.107353876920279978e-01
1.902253045896446296e-02 9.218095238095238564e-01
6.408684211062450065e-02 9.814285714285714279e-01
1.230247162174935398e-02 3.525656104035753691e-01
3.683324539270403652e-02 8.340654786572730961e-01
1.710664187921782584e-02 4.269926047658175738e-01
9.648263656662279045e-03 9.440566037735849125e-01
7.027931993613615279e-03 4.114556382597619466e-01
3.449669852850484938e-03 2.965898513524948266e-01
3.815274412123380310e-02 8.833142957560846664e-01
2.539677036891648323e-02 8.655700998966586734e-01
9.620705375075318255e-03 9.558095238095237756e-01
5.975006360799837296e-02 8.490693169375894689e-01
2.327259028671027283e-02 7.442184861610747770e-01
9.037805410899877809e-04 2.911054879873751777e-01
3.738733561769946260e-03 6.174201326100060561e-01
8.076493950702909319e-03 8.861709643235605727e-01
6.264117512713207429e-03 7.655313661533793557e-01
2.258693253876594212e-03 7.909019607843137400e-01
2.083935662546463341e-01 9.879999999999999893e-01
2.576461626858788656e-01 9.056433408577878597e-01
7.794148612020175733e-03 2.066810768323835701e-01
4.586082034139797765e-03 6.174152346785549694e-02
1.087433276709367652e-01 9.026190261902619083e-01
2.289492464143944028e-02 9.538095238095237738e-01
9.341932098265368772e-03 8.708196153179691423e-01
1.526909647436546467e-02 3.966344323459986554e-01
6.424625805602102602e-04 8.381531794316192663e-01
2.073122559399895488e-03 1.933327277681896605e-01
5.944950814107951252e-03 7.055890297111988563e-01
1.241909597824218496e-02 8.626458476321208213e-01
2.620843060885442305e-02 8.460762896992102267e-01
6.715182125645683189e-03 5.468285956724650010e-01
2.563379991029829559e-03 8.911121451838063812e-02
3.968240226585647429e-03 7.344362211580321986e-01
5.894721769090587038e-02 4.394781036041854883e-01
6.560074915624079751e-04 9.464761904761904709e-01
1.561668852825178963e-03 7.700896247911286352e-01
1.069515991326685199e-02 4.851389902474623206e-02
2.058790782251241833e-02 7.597924968047514716e-01
1.688010534604979587e-02 8.852184637068357675e-01
