,H_em,P_cl,T_ICM,T_cl,Z_cl,beta_cl,chisq,cloud_Rin,cloud_Rout,f_cl,grid_rnd_seed,id,n_HI_ICM,n_HI_cl,r_cl,r_gal,sigma_cl,sigma_i,vinf_cl,zeta_Z
28,1620.844,0.9689756,15885910.0,15671.14,0.231328169114,1.17,1196.97333622,0.0,5000.0,7.23042616855,123456,28,3.125848e-11,0.1158226,93.53764,5000.0,54.08964,74.49673,83.77153,0.000881889247474
29,669.6807,0.9457203,19841570.0,46877.92,0.273649374511,2.34,5039.28100096,0.0,5000.0,1.492251187,123456,29,5.992928e-09,0.1876612,52.5274,5000.0,54.50017,79.44495,785.8892,0.000170375149301
30,2656.99,0.9504559,25666050.0,45409.23,0.418905541049,1.42,4411.66519129,0.0,5000.0,5.33578650478,123456,30,3.358499e-12,0.1919871,45.62903,5000.0,54.43792,87.26086,559.7188,0.00013296660671
31,1415.186,0.9410062,25899530.0,31664.5,0.350913870377,2.2,8447.95536146,0.0,5000.0,3.12628226446,123456,31,1.967e-11,0.291398,195.455,5000.0,54.75835,74.81979,712.4458,0.00124984805628
32,1131.539,0.9755935,763494.3,39724.45,0.245223070554,2.19,18932.729303,0.0,5000.0,3.30566331883,123456,32,2.574995e-07,0.06024372,186.4684,5000.0,54.10104,72.12018,366.2493,0.0151347526119
33,1654.394,0.9589084,6002985.0,17676.78,0.393844600182,1.96,4597.22454721,0.0,5000.0,4.36831969826,123456,33,1.651307e-07,1.065471,131.768,5000.0,55.46052,84.06156,398.7948,0.0216615349125
34,1338.126,0.9582352,496591.1,25759.19,0.032706902227,1.6,14673.5074581,0.0,5000.0,6.482659427,123456,34,4.5081e-10,0.2087109,198.4623,5000.0,55.10271,41.16359,185.1489,0.0314626537356
35,1674.568,0.9755737,523705.0,14628.01,0.0343637647607,1.37,3897.32135507,0.0,5000.0,4.97854149294,123456,35,5.95e-10,0.4040023,138.5115,5000.0,54.72547,89.20342,153.2933,0.00248283710607
36,1971.966,0.973411,2977194.0,12840.28,0.85107818477,1.11,15026.8462218,0.0,5000.0,7.23213549846,123456,36,2.926183e-11,0.03091817,178.3607,5000.0,55.00748,82.34643,649.0394,0.0123437801933
37,2738.423,0.9427099,32394450.0,19683.74,0.259800039983,2.48,2127.50404937,0.0,5000.0,7.22312711513,123456,37,6.988919e-11,1.380576,35.94041,5000.0,54.7478,33.34986,384.9766,0.00950070295002
38,2208.92,0.9722402,10406730.0,26648.65,0.0335320289907,2.09,674.537602637,0.0,5000.0,3.83323840204,123456,38,1.596563e-10,0.1656671,111.6597,5000.0,55.4956,27.08193,15.10579,0.0226543647725
39,642.7101,0.9714916,11925890.0,26142.78,0.0472111298417,2.32,6530.53451771,0.0,5000.0,3.44187130098,123456,39,6.999181e-10,0.9672806,116.1625,5000.0,55.12394,92.64893,202.6296,0.00032386710197
40,1833.275,0.9600752,5303232.0,20237.82,0.0307200558766,1.89,468.419953707,0.0,5000.0,1.1119328915,123456,40,9.506282e-11,2.001553,144.7298,5000.0,54.58797,52.78185,37.88422,0.000216612261676
41,943.849,0.9715124,31834560.0,5616.174,0.0343462300816,1.22,7252.10360784,0.0,5000.0,3.3505381823,123456,41,3.991402e-10,0.4839256,64.09724,5000.0,53.8184,21.93811,376.3995,0.0180504049432
42,1652.723,0.9446455,11962890.0,12855.41,0.156759245015,1.11,2698.18435234,0.0,5000.0,6.40549093163,123456,42,2.439085e-11,2.106108,42.39572,5000.0,54.97767,7.331717,444.5492,0.000591690646887
43,2123.894,0.9437226,10492480.0,8225.386,0.0363311703475,2.17,23043.8195809,0.0,5000.0,7.86791001877,123456,43,3.731156e-08,0.06894482,53.87479,5000.0,55.29221,45.39487,541.2566,0.000261023931113
44,2863.883,0.9543697,27232410.0,26040.41,0.140087330269,1.16,7263.86155872,0.0,5000.0,7.84908053716,123456,44,5.835681e-09,0.1403179,47.52775,5000.0,53.97544,93.39622,483.4672,0.0149406553164
45,1789.735,0.9551176,337524.6,23517.59,0.136352954523,1.16,1218.57085763,0.0,5000.0,3.89632413442,123456,45,1.106511e-09,0.2097868,155.8082,5000.0,54.39096,70.22341,154.7475,0.000259732220867
46,1611.995,0.9436355,6660943.0,7649.796,0.127647791714,1.97,11850.235327,0.0,5000.0,0.959200507712,123456,46,6.148641e-07,0.03550808,195.5441,5000.0,54.95185,96.92119,580.1914,0.0616717790605
47,2128.247,0.9563014,845260.2,16243.94,0.977614906565,2.28,3728.65188087,0.0,5000.0,3.94127497103,123456,47,4.606144e-10,0.1117038,48.86362,5000.0,54.45266,75.50407,296.3504,0.000194108793952
48,2970.874,0.9634713,1743393.0,18987.31,0.0558276936053,1.96,5938.91157215,0.0,5000.0,6.57008660071,123456,48,1.028839e-10,0.7900647,37.13249,5000.0,54.03167,38.39928,416.1604,0.00213224558014
49,1824.249,0.9510381,329457.0,10919.12,0.371986193201,1.52,2122.73146321,0.0,5000.0,3.74911769841,123456,49,7.797541e-12,0.3810007,161.5094,5000.0,54.03486,81.41184,173.8296,0.00181691433212
50,2261.919,0.9540118,2840601.0,32968.82,0.368179357526,2.0,2609.0190657,0.0,5000.0,1.94535583299,123456,50,5.970077e-09,2.624947,85.66294,5000.0,54.58628,92.88052,566.2565,0.00117750836783
51,2741.214,0.9502703,5635210.0,9663.014,0.0411753877028,2.02,505.688176181,0.0,5000.0,1.00078787033,123456,51,6.821167e-08,1.235805,70.50018,5000.0,53.85748,44.94868,157.0073,0.00376530727581
52,2043.609,0.9404383,43880460.0,29312.23,0.0316396118322,1.52,1783.11603832,0.0,5000.0,1.75232169673,123456,52,1.21286e-11,0.765236,51.60127,5000.0,53.76059,77.23324,108.4354,0.00279566703808
53,827.8603,0.9575882,3447373.0,32251.66,0.435082594168,2.33,21234.5383107,0.0,5000.0,4.53215562553,123456,53,2.550577e-10,0.04216581,199.2925,5000.0,53.99632,93.40837,284.3312,0.00351567361902
54,591.814,0.9696916,1654906.0,45361.15,0.0894340865858,1.93,3370.67815641,0.0,5000.0,6.5890866608,123456,54,2.245536e-07,0.03788106,79.89956,5000.0,55.05542,81.98356,13.8281,0.0780375348951
55,2104.209,0.9421092,1120365.0,31333.88,0.202826799352,2.05,4653.16339239,0.0,5000.0,1.96880682819,123456,55,1.136681e-10,0.03199555,175.3641,5000.0,55.49652,5.583693,136.5054,0.00206848972015
