ID,H_em,P_cl,T_ICM,T_cl,Z_cl,beta_cl,chisq,cloud_Rin,cloud_Rout,f_cl,grid_rnd_seed,id,n_HI_ICM,n_HI_cl,r_cl,r_gal,sigma_cl,sigma_i,vinf_cl,zeta_Z
28,871.1026,0.1185627,11349130.0,43337.78,0.0577825980159,2.43,1330.4141755,0.0,5000.0,6.54860816875,123456,28,7.938665e-07,0.9204709,79.82074,5000.0,74.29586,51.19232,545.7625,0.0627730595448
29,2598.821,0.6880168,47908270.0,7118.685,0.158591046854,2.02,815.179248863,0.0,5000.0,6.34717726238,123456,29,3.605857e-08,0.1183517,68.74036,5000.0,23.30632,81.12444,703.0068,0.000275384755489
30,636.1528,0.696078,5276484.0,37312.62,0.155644945854,1.26,544.258536708,0.0,5000.0,2.47554980668,123456,30,1.254938e-12,0.03365267,90.06984,5000.0,39.76581,25.9824,271.1253,0.0013520508305
31,643.2554,0.04286421,7927215.0,32091.52,0.86228725221,1.88,1399.28478983,0.0,5000.0,1.00714391443,123456,31,3.120903e-10,1.777163,190.5153,5000.0,91.97848,84.70624,772.8852,0.000711952886044
32,1147.704,0.01630617,29280660.0,30442.49,0.0548099805463,1.66,1004.43603834,0.0,5000.0,3.38827761417,123456,32,7.097532e-07,1.019343,46.13583,5000.0,64.9807,35.20291,146.603,0.000721146932413
33,1571.346,0.9161347,40910460.0,24206.96,0.818127165225,1.62,190.1218331,0.0,5000.0,4.39607719434,123456,33,2.599082e-09,0.2711323,119.3559,5000.0,90.54079,20.08271,372.4867,0.00183591115174
34,2954.623,0.6116512,5604591.0,27148.88,0.332682493956,1.71,203.885041554,0.0,5000.0,7.45772261341,123456,34,2.567925e-11,1.157326,93.06571,5000.0,59.40946,28.37391,739.5284,0.000573570972299
35,941.4415,0.7463166,516985.8,9942.116,0.336580300031,1.53,1926.6927242,0.0,5000.0,1.08701081917,123456,35,5.0138e-12,0.1346662,32.19285,5000.0,22.25146,9.809468,192.5499,0.0328895448541
36,1323.409,0.608126,6257949.0,9591.752,0.154556927809,2.07,511.435012637,0.0,5000.0,2.10961857966,123456,36,4.768472e-09,0.0547518,62.2358,5000.0,86.49789,53.00629,591.9234,0.0770079518751
37,594.9868,0.5013117,46204680.0,9474.981,0.0800520811845,1.13,1398.04401355,0.0,5000.0,5.76404232806,123456,37,2.176066e-07,0.0412049,160.7586,5000.0,78.78146,55.39998,353.0868,0.00486197214671
38,974.6862,0.03446869,3243068.0,22585.99,0.0996495359078,2.49,782.467873602,0.0,5000.0,7.74343135509,123456,38,2.720606e-07,0.9974203,172.9276,5000.0,95.5007,17.1446,695.678,0.000199524966164
39,983.5815,0.7661786,2808323.0,10197.62,0.120717754571,1.29,979.010956689,0.0,5000.0,7.08786511124,123456,39,1.086083e-08,0.4973232,40.79065,5000.0,77.15383,62.47198,648.9654,0.00161676917632
